	bitscore
1377	160.0
1378	160.0
1379	160.0
1380	160.0
1381	160.0
1382	160.0
1383	160.0
1384	160.0
1385	160.0
1386	161.0
1387	161.0
1388	161.0
1389	161.0
1390	161.0
1391	161.0
1392	161.0
1393	161.0
1394	161.0
1395	161.0
1396	161.0
1397	161.0
1398	161.0
1399	161.0
1400	161.0
1401	162.0
1402	162.0
1403	162.0
1404	162.0
1405	162.0
1406	162.0
1407	162.0
1408	162.0
1409	162.0
1410	162.0
1411	162.0
1412	162.0
1413	162.0
1414	162.0
1415	162.0
1416	162.0
1417	162.0
1418	162.0
1419	162.0
1420	162.0
1421	162.0
1422	162.0
1423	162.0
1424	162.0
1425	162.0
1426	162.0
1427	162.0
1428	162.0
1429	162.0
1430	163.0
1431	163.0
1432	163.0
1433	163.0
1434	163.0
1435	163.0
1436	163.0
1437	163.0
1438	163.0
1439	163.0
1440	163.0
1441	163.0
1442	163.0
1443	163.0
1444	163.0
1445	163.0
1446	163.0
1447	163.0
1448	163.0
1449	163.0
1450	163.0
1451	163.0
1452	163.0
1453	163.0
1454	164.0
1455	164.0
1456	164.0
1457	164.0
1458	164.0
1459	164.0
1460	164.0
1461	164.0
1462	164.0
1463	164.0
1464	164.0
1465	164.0
1466	164.0
1467	164.0
1468	164.0
1469	164.0
1470	164.0
1471	164.0
1472	164.0
1473	164.0
1474	164.0
1475	164.0
1476	164.0
1477	164.0
1478	164.0
1479	164.0
1480	164.0
1481	164.0
1482	164.0
1483	164.0
1484	164.0
1485	164.0
1486	165.0
1487	165.0
1488	165.0
1489	165.0
1490	165.0
1491	165.0
1492	165.0
1493	165.0
1494	165.0
1495	165.0
1496	165.0
1497	165.0
1498	165.0
1499	165.0
1500	165.0
1501	165.0
1502	165.0
1503	165.0
1504	165.0
1505	165.0
1506	165.0
1507	166.0
1508	166.0
1509	166.0
1510	166.0
1511	166.0
1512	166.0
1513	166.0
1514	166.0
1515	166.0
1516	166.0
1517	166.0
1518	166.0
1519	166.0
1520	166.0
1521	166.0
1522	166.0
1523	166.0
1524	166.0
1525	166.0
1526	166.0
1527	166.0
1528	166.0
1529	166.0
1530	166.0
1531	166.0
1532	166.0
1533	166.0
1534	166.0
1535	166.0
1536	166.0
1537	166.0
1538	167.0
1539	167.0
1540	167.0
1541	167.0
1542	167.0
1543	167.0
1544	167.0
1545	167.0
1546	167.0
1547	167.0
1548	167.0
1549	167.0
1550	167.0
1551	167.0
1552	167.0
1553	167.0
1554	167.0
1555	167.0
1556	167.0
1557	167.0
1558	167.0
1559	167.0
1560	168.0
1561	168.0
1562	168.0
1563	168.0
1564	168.0
1565	168.0
1566	168.0
1567	168.0
1568	168.0
1569	168.0
1570	168.0
1571	168.0
1572	168.0
1573	168.0
1574	168.0
1575	168.0
1576	169.0
1577	169.0
1578	169.0
1579	169.0
1580	169.0
1581	169.0
1582	169.0
1583	169.0
1584	169.0
1585	169.0
1586	169.0
1587	169.0
1588	169.0
1589	169.0
1590	169.0
1591	169.0
1592	169.0
1593	169.0
1594	169.0
1595	169.0
1596	169.0
1597	170.0
1598	170.0
1599	170.0
1600	170.0
1601	170.0
1602	170.0
1603	170.0
1604	170.0
1605	170.0
1606	170.0
1607	170.0
1608	170.0
1609	170.0
1610	170.0
1611	170.0
1612	170.0
1613	170.0
1614	170.0
1615	170.0
1616	171.0
1617	171.0
1618	171.0
1619	171.0
1620	171.0
1621	171.0
1622	171.0
1623	171.0
1624	171.0
1625	171.0
1626	171.0
1627	171.0
1628	171.0
1629	171.0
1630	171.0
1631	171.0
1632	171.0
1633	171.0
1634	171.0
1635	171.0
1636	171.0
1637	171.0
1638	171.0
1639	171.0
1640	171.0
1641	171.0
1642	171.0
1643	171.0
1644	171.0
1645	171.0
1646	171.0
1647	171.0
1648	171.0
1649	171.0
1650	171.0
1651	171.0
1652	171.0
1653	171.0
1654	172.0
1655	172.0
1656	172.0
1657	172.0
1658	172.0
1659	172.0
1660	172.0
1661	172.0
1662	172.0
1663	172.0
1664	172.0
1665	172.0
1666	172.0
1667	172.0
1668	172.0
1669	172.0
1670	172.0
1671	172.0
1672	173.0
1673	173.0
1674	173.0
1675	173.0
1676	173.0
1677	173.0
1678	173.0
1679	173.0
1680	173.0
1681	173.0
1682	173.0
1683	173.0
1684	173.0
1685	174.0
1686	174.0
1687	174.0
1688	174.0
1689	174.0
1690	174.0
1691	174.0
1692	174.0
1693	174.0
1694	174.0
1695	174.0
1696	174.0
1697	174.0
1698	174.0
1699	174.0
1700	174.0
1701	174.0
1702	174.0
1703	174.0
1704	174.0
1705	174.0
1706	174.0
1707	174.0
1708	174.0
1709	174.0
1710	174.0
1711	174.0
1712	174.0
1713	174.0
1714	174.0
1715	174.0
1716	174.0
1717	174.0
1718	174.0
1719	174.0
1720	174.0
1721	175.0
1722	175.0
1723	175.0
1724	175.0
1725	175.0
1726	175.0
1727	175.0
1728	175.0
1729	175.0
1730	175.0
1731	175.0
1732	175.0
1733	175.0
1734	175.0
1735	176.0
1736	176.0
1737	176.0
1738	176.0
1739	176.0
1740	176.0
1741	176.0
1742	176.0
1743	176.0
1744	176.0
1745	176.0
1746	176.0
1747	176.0
1748	176.0
1749	176.0
1750	176.0
1751	176.0
1752	176.0
1753	176.0
1754	176.0
1755	176.0
1756	176.0
1757	176.0
1758	176.0
1759	176.0
1760	176.0
1761	176.0
1762	176.0
1763	176.0
1764	177.0
1765	177.0
1766	177.0
1767	177.0
1768	177.0
1769	177.0
1770	177.0
1771	177.0
1772	177.0
1773	177.0
1774	177.0
1775	177.0
1776	177.0
1777	177.0
1778	177.0
1779	177.0
1780	177.0
1781	177.0
1782	177.0
1783	177.0
1784	177.0
1785	177.0
1786	177.0
1787	177.0
1788	177.0
1789	177.0
1790	177.0
1791	177.0
1792	177.0
1793	177.0
1794	177.0
1795	177.0
1796	177.0
1797	177.0
1798	177.0
1799	177.0
1800	178.0
1801	178.0
1802	178.0
1803	178.0
1804	178.0
1805	178.0
1806	178.0
1807	178.0
1808	178.0
1809	178.0
1810	178.0
1811	178.0
1812	178.0
1813	178.0
1814	178.0
1815	178.0
1816	178.0
1817	178.0
1818	178.0
1819	178.0
1820	178.0
1821	178.0
1822	178.0
1823	178.0
1824	179.0
1825	179.0
1826	179.0
1827	179.0
1828	179.0
1829	179.0
1830	179.0
1831	179.0
1832	179.0
1833	179.0
1834	179.0
1835	179.0
1836	179.0
1837	179.0
1838	179.0
1839	179.0
1840	179.0
1841	179.0
1842	179.0
1843	179.0
1844	179.0
1845	179.0
1846	179.0
1847	179.0
1848	179.0
1849	179.0
1850	179.0
1851	179.0
1852	179.0
1853	179.0
1854	179.0
1855	179.0
1856	179.0
1857	179.0
1858	179.0
1859	180.0
1860	180.0
1861	180.0
1862	180.0
1863	180.0
1864	180.0
1865	180.0
1866	180.0
1867	180.0
1868	180.0
1869	180.0
1870	180.0
1871	180.0
1872	180.0
1873	180.0
1874	180.0
1875	180.0
1876	180.0
1877	181.0
1878	181.0
1879	181.0
1880	181.0
1881	181.0
1882	181.0
1883	181.0
1884	181.0
1885	181.0
1886	181.0
1887	181.0
1888	181.0
1889	181.0
1890	181.0
1891	181.0
1892	181.0
1893	181.0
1894	181.0
1895	181.0
1896	181.0
1897	181.0
1898	181.0
1899	181.0
1900	181.0
1901	181.0
1902	181.0
1903	181.0
1904	181.0
1905	181.0
1906	181.0
1907	181.0
1908	181.0
1909	181.0
1910	181.0
1911	181.0
1912	181.0
1913	181.0
1914	181.0
1915	181.0
1916	181.0
1917	181.0
1918	182.0
1919	182.0
1920	182.0
1921	182.0
1922	182.0
1923	182.0
1924	182.0
1925	182.0
1926	182.0
1927	182.0
1928	182.0
1929	182.0
1930	182.0
1931	182.0
1932	182.0
1933	182.0
1934	182.0
1935	182.0
1936	182.0
1937	182.0
1938	182.0
1939	182.0
1940	182.0
1941	182.0
1942	182.0
1943	182.0
1944	182.0
1945	182.0
1946	182.0
1947	182.0
1948	182.0
1949	182.0
1950	182.0
1951	182.0
1952	182.0
1953	182.0
1954	182.0
1955	182.0
1956	182.0
1957	182.0
1958	183.0
1959	183.0
1960	183.0
1961	183.0
1962	183.0
1963	183.0
1964	183.0
1965	183.0
1966	183.0
1967	183.0
1968	183.0
1969	183.0
1970	183.0
1971	183.0
1972	183.0
1973	183.0
1974	183.0
1975	183.0
1976	183.0
1977	183.0
1978	183.0
1979	183.0
1980	183.0
1981	183.0
1982	183.0
1983	183.0
1984	183.0
1985	183.0
1986	183.0
1987	183.0
1988	183.0
1989	183.0
1990	184.0
1991	184.0
1992	184.0
1993	184.0
1994	184.0
1995	184.0
1996	184.0
1997	184.0
1998	184.0
1999	184.0
2000	184.0
2001	184.0
2002	184.0
2003	184.0
2004	184.0
2005	184.0
2006	184.0
2007	184.0
2008	184.0
2009	184.0
2010	184.0
2011	184.0
2012	184.0
2013	184.0
2014	184.0
2015	184.0
2016	184.0
2017	184.0
2018	184.0
2019	184.0
2020	184.0
2021	184.0
2022	184.0
2023	185.0
2024	185.0
2025	185.0
2026	185.0
2027	185.0
2028	185.0
2029	185.0
2030	185.0
2031	185.0
2032	185.0
2033	185.0
2034	185.0
2035	185.0
2036	185.0
2037	185.0
2038	185.0
2039	185.0
2040	185.0
2041	185.0
2042	185.0
2043	185.0
2044	185.0
2045	185.0
2046	185.0
2047	186.0
2048	186.0
2049	186.0
2050	186.0
2051	186.0
2052	186.0
2053	186.0
2054	186.0
2055	186.0
2056	186.0
2057	186.0
2058	186.0
2059	186.0
2060	186.0
2061	186.0
2062	186.0
2063	186.0
2064	186.0
2065	186.0
2066	186.0
2067	186.0
2068	186.0
2069	186.0
2070	186.0
2071	186.0
2072	186.0
2073	186.0
2074	186.0
2075	186.0
2076	186.0
2077	186.0
2078	186.0
2079	186.0
2080	186.0
2081	186.0
2082	186.0
2083	186.0
2084	186.0
2085	187.0
2086	187.0
2087	187.0
2088	187.0
2089	187.0
2090	187.0
2091	187.0
2092	187.0
2093	187.0
2094	187.0
2095	187.0
2096	187.0
2097	187.0
2098	187.0
2099	187.0
2100	187.0
2101	187.0
2102	187.0
2103	187.0
2104	187.0
2105	187.0
2106	187.0
2107	187.0
2108	187.0
2109	187.0
2110	187.0
2111	187.0
2112	187.0
2113	187.0
2114	187.0
2115	187.0
2116	187.0
2117	187.0
2118	187.0
2119	188.0
2120	188.0
2121	188.0
2122	188.0
2123	188.0
2124	188.0
2125	188.0
2126	188.0
2127	188.0
2128	188.0
2129	188.0
2130	188.0
2131	188.0
2132	188.0
2133	188.0
2134	188.0
2135	188.0
2136	188.0
2137	188.0
2138	188.0
