	evalue
10838	0.0
21577	0.0
10840	0.0
5562	0.0
10846	0.0
5560	0.0
10856	0.0
10861	0.0
10862	0.0
10864	0.0
22749	0.0
5553	0.0
10870	0.0
10871	0.0
5550	0.0
10875	0.0
5547	0.0
5546	0.0
10876	0.0
10888	0.0
5507	0.0
5506	0.0
10930	0.0
21555	0.0
22768	0.0
5466	0.0
10992	0.0
10993	0.0
22769	0.0
21546	0.0
5459	0.0
10999	0.0
22770	0.0
21544	0.0
5454	0.0
5453	0.0
21543	0.0
21541	0.0
11009	0.0
21540	0.0
11013	0.0
11014	0.0
11016	0.0
11017	0.0
11019	0.0
11022	0.0
10977	0.0
10976	0.0
10975	0.0
10974	0.0
10936	0.0
5500	0.0
5499	0.0
5498	0.0
22757	0.0
10938	0.0
5495	0.0
21562	0.0
10946	0.0
5491	0.0
10947	0.0
10828	0.0
10948	0.0
5487	0.0
10950	0.0
21559	0.0
22758	0.0
10959	0.0
10964	0.0
10965	0.0
5479	0.0
10967	0.0
5477	0.0
5475	0.0
10949	0.0
5572	0.0
21581	0.0
5574	0.0
5669	0.0
10686	0.0
5667	0.0
10688	0.0
5665	0.0
5664	0.0
10689	0.0
10690	0.0
10692	0.0
21610	0.0
5659	0.0
21609	0.0
10695	0.0
5656	0.0
5655	0.0
5654	0.0
5653	0.0
10696	0.0
21608	0.0
10702	0.0
10707	0.0
10708	0.0
5646	0.0
5670	0.0
5672	0.0
10680	0.0
21612	0.0
5702	0.0
5699	0.0
10630	0.0
21627	0.0
10638	0.0
10639	0.0
10641	0.0
10642	0.0
10645	0.0
5690	0.0
10648	0.0
10723	0.0
10649	0.0
10655	0.0
5685	0.0
5684	0.0
5683	0.0
10658	0.0
10661	0.0
5680	0.0
5679	0.0
10667	0.0
10668	0.0
21614	0.0
21617	0.0
11023	0.0
5643	0.0
5641	0.0
5605	0.0
22739	0.0
21601	0.0
10777	0.0
10787	0.0
5599	0.0
10792	0.0
10796	0.0
21584	0.0
10802	0.0
5593	0.0
5592	0.0
10806	0.0
10807	0.0
5588	0.0
10809	0.0
10813	0.0
5584	0.0
5583	0.0
10817	0.0
22744	0.0
10821	0.0
10822	0.0
5606	0.0
5607	0.0
10774	0.0
21602	0.0
10724	0.0
10726	0.0
5637	0.0
5636	0.0
10727	0.0
5633	0.0
5632	0.0
5631	0.0
10730	0.0
5629	0.0
10737	0.0
5642	0.0
5626	0.0
5624	0.0
5623	0.0
10739	0.0
10746	0.0
10753	0.0
10760	0.0
10761	0.0
5615	0.0
10762	0.0
10768	0.0
5612	0.0
5625	0.0
5171	0.0
11033	0.0
11036	0.0
11253	0.0
11254	0.0
22800	0.0
22801	0.0
21482	0.0
5262	0.0
5261	0.0
5260	0.0
5259	0.0
11268	0.0
5257	0.0
5256	0.0
11269	0.0
11277	0.0
5253	0.0
5252	0.0
5251	0.0
11278	0.0
5248	0.0
22805	0.0
11279	0.0
22806	0.0
11284	0.0
11252	0.0
22807	0.0
11251	0.0
5275	0.0
5303	0.0
11209	0.0
21492	0.0
21491	0.0
11217	0.0
11224	0.0
5296	0.0
21490	0.0
11226	0.0
21489	0.0
11229	0.0
21488	0.0
11234	0.0
11235	0.0
5286	0.0
11236	0.0
11237	0.0
5283	0.0
11238	0.0
5281	0.0
11242	0.0
11246	0.0
21487	0.0
11250	0.0
11285	0.0
11287	0.0
11289	0.0
5201	0.0
11342	0.0
5199	0.0
5198	0.0
5197	0.0
11347	0.0
22817	0.0
11348	0.0
5192	0.0
11354	0.0
11355	0.0
5189	0.0
5188	0.0
11359	0.0
11365	0.0
